"name","start_date","type","distance_km","moving_time_min","cycle_phase","cycle_day","cycle_id","user_id"
"Evening Run",2023-05-22,"Run",5.13,30.8,"Menstrual",2,1,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2023-05-24,"Run",4.85,33.5,"Menstrual",4,1,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Evening Run",2023-05-26,"Run",4.86,27.5,"Follicular",6,1,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Lunch Run",2023-05-27,"Run",8.06,54.7,"Follicular",7,1,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Evening Run",2023-05-29,"Run",4.85,29.4,"Follicular",9,1,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Evening Run",2023-05-30,"Run",5.22,31.5,"Follicular",10,1,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Lunch Run",2023-06-02,"Run",5.23,29.9,"Follicular",13,1,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Lunch Run",2023-06-03,"Run",9.66,61.8,"Ovulatory",14,1,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2023-06-05,"Run",4.85,28.5,"Ovulatory",16,1,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Lunch Run",2023-06-07,"Run",7.87,46.7,"Luteal",18,1,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Evening Run",2023-06-08,"Run",1.81,10.5,"Luteal",19,1,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2023-06-09,"Run",4.85,27,"Luteal",20,1,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2023-06-10,"Run",11.33,75.1,"Luteal",21,1,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2023-06-11,"Run",1.85,11.1,"Luteal",22,1,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Lunch Run",2023-06-11,"Run",1.8,9.7,"Luteal",22,1,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2023-06-12,"Run",5.63,30.8,"Luteal",23,1,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2023-06-14,"Run",6.5,35.9,"Luteal",25,1,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2023-06-16,"Run",4.86,30.2,"Luteal",27,1,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Lunch Run",2023-06-17,"Run",12.9,79.1,"Luteal",28,1,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2023-06-19,"Run",8.24,49.6,"Luteal",30,1,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Lunch Run",2023-06-21,"Run",5.07,28.4,"Luteal",32,1,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2023-06-22,"Run",1.13,6.5,"Luteal",33,1,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Lunch Run",2023-06-24,"Run",8.36,55.4,"Luteal",35,1,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2023-06-26,"Run",4.89,28,"Luteal",37,1,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2023-06-27,"Run",6.46,39.6,"Luteal",38,1,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2023-06-28,"Run",5.2,29.4,"Menstrual",1,2,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Evening Run",2023-06-29,"Run",1.74,9.8,"Menstrual",2,2,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2023-06-30,"Run",5.49,30.8,"Menstrual",3,2,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2023-07-01,"Run",14.51,98.7,"Menstrual",4,2,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Evening Run",2023-07-03,"Run",4.85,29.8,"Follicular",6,2,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2023-07-05,"Run",8.07,47.9,"Follicular",8,2,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Lunch Run",2023-07-07,"Run",4.84,31.2,"Follicular",10,2,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2023-07-08,"Run",16.14,105,"Follicular",11,2,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Evening Run",2023-07-10,"Run",5.68,32.8,"Follicular",13,2,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Evening Run",2023-07-11,"Run",8.05,54.5,"Ovulatory",14,2,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2023-07-13,"Run",4.85,29.6,"Ovulatory",16,2,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2023-07-15,"Run",13.2,83.8,"Luteal",18,2,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2023-07-18,"Run",4.85,30.5,"Luteal",21,2,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Evening Run",2023-07-18,"Run",4.85,27.4,"Luteal",21,2,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2023-07-19,"Run",1.64,10.2,"Luteal",22,2,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Lunch Run",2023-07-20,"Run",8.06,53.4,"Luteal",23,2,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2023-07-22,"Run",19.33,131.9,"Luteal",25,2,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2023-07-25,"Run",4.97,31.4,"Luteal",28,2,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2023-07-27,"Run",8.34,55.3,"Luteal",30,2,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2023-07-29,"Run",21.2,131.8,"Luteal",32,2,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2023-08-22,"Run",1.48,8.5,"Luteal",23,2,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Night Run",2023-08-25,"Run",4.84,31.2,"Menstrual",2,2,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2023-09-07,"Run",4.43,25.9,"Ovulatory",15,2,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2023-09-12,"Run",5.07,30.8,"Luteal",20,2,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2023-09-19,"Run",5.15,30.1,"Menstrual",5,2,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Lunch Run",2023-09-23,"Run",4.54,27.8,"Follicular",9,2,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2023-09-26,"Run",4.84,29.5,"Follicular",12,2,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Morning Run",2023-09-28,"Run",4.85,25.5,"Ovulatory",14,2,"19777d02-d07c-45e5-a48b-2a352a3cebba"
"Afternoon Run",2023-09-30,"Run",3.39,19.4,"Ovulatory",16,2,"19777d02-d07c-45e5-a48b-2a352a3cebba"
